State	MAMMAL 1	YEAR 1	foot size	MAMMAL 2	YEAR 2	foot size	MAMMAL 3	YEAR 3	foot size	MAMMAL 4	YEAR 4	foot size
Alabama	American black bear	2006	b	West Indian manatee	2009	n						
Alaska	Bowhead whale	1983	n	Moose	1998	b						
Arizona	Ringtail	1986	s									
Arkansas	White-tailed deer	1993	s									
California	California grizzly bear	1953	b	Gray whale	1975	n						
Colorado	Rocky Mountain bighorn sheep	1961	b									
Connecticut	Sperm whale	1975	n									
Delaware	Gray fox	2010	s									
District of Columbia	Big brown bat	2020	s									
Florida	Florida panther	1982	b	Manatee	1975	n	Porpoise or dolphin	1975	n			
Georgia	White-tailed deer	2015	s	Right whale	1985	n						
Hawaii	Hawaiian monk seal	2008	n	Humpback whale	1979	n	Hawaiian hoary bat	2015	s			
Idaho												
Illinois	White-tailed deer	1980	s									
Indiana												
Iowa	Muskrat	1900	s									
Kansas	American bison	1955	b									
Kentucky	Gray squirrel	1968	s									
Louisiana	Black bear	1992	b									
Maine	Moose	1979	b	Maine Coon Cat	1985	s						
Maryland	Calico Cat	2001	s	Chesapeake Bay Retriever	1900	s						
Massachusetts	Right whale	1980	n	Tabby Cat	1988	s	Ms. G	2014	s	Morgan Horse	1970	b
Michigan	White-tailed deer	1997	s									
Minnesota	White-tailed deer	1900	s	Black bear	1900	b						
Mississippi	White-tailed deer	1974	s	Red fox	1997	s	Bottlenosed dolphin	1974	n			
Missouri	Missouri mule	1995	b									
Montana	Grizzly bear	1983	b									
Nebraska	White-tailed deer	1981	s									
Nevada	Desert bighorn sheep	1973	b									
New Hampshire	White-tailed deer	1983	s	Bobcat	2015	s						
New Jersey												
New Mexico	American black bear	1963	b									
New York	Beaver	1975	s									
North Carolina	Eastern gray squirrel	1969	s	Virginia opossum	2013	s						
North Dakota												
Ohio	White-tailed deer	1988	s									
Oklahoma	Buffalo	1972	b	Mexican free-tailed bat	2006	s	Raccoon	1989	s	White-tailed deer	1990	s
Oregon	Beaver	1969	s									
Pennsylvania	White-tailed deer	1959	s									
Rhode Island	Harbor seal	2016	n									
South Carolina	White-tailed deer	1972	s	Bottlenose dolphin	2009	n	Right whale	2009	n	Mule	2010	b
South Dakota	Coyote	1900	s									
Tennessee	Raccoon	1971	s									
Texas	Nine-banded armadillo	1995	s	Texas Longhorn	1995	b	Mexican free-tailed bat	1995	s			
Utah	Rocky Mountain elk	1971	b									
Vermont	Randall Lineback	2005	b									
Virginia	Virginia big-eared bat	2005	s									
Washington	Orca	2005	n	Olympic marmot	2009	s						
West Virginia	American black bear	1973	b									
Wisconsin	American badger	1957	b	White-tailed deer	1957	s	Dairy cow	1971	b			
Wyoming	American bison	1985	b									
