Park,Unit Code,Park Type,Region,State,Year,Recreation Visits,Location NP,Formatted Address NP
Acadia NP,ACAD,National Park,Northeast ,ME,1979,2787366,"(44.3385559, -68.2733346)","Acadia National Park, Maine, USA"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,269840,"(38.733081, -109.5925139)","Arches National Park, Utah, USA"
Badlands NP,BADL,National Park,Midwest ,SD,1979,858000,"(43.8553804, -102.3396912)","Badlands National Park, South Dakota, USA"
Big Bend NP,BIBE,National Park,Intermountain ,TX,1979,282941,"(29.2499017, -103.2501638)","Big Bend National Park, TX 79834, USA"
Biscayne NP,BISC,National Park,Southeast ,FL,1979,202938,"(25.4824229, -80.20831030000001)","Biscayne National Park, Florida, USA"
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,CO,1979,234286,"(38.5753936, -107.7415961)","Black Canyon of the Gunnison National Park, Colorado, USA"
Bryce Canyon NP,BRCA,National Park,Intermountain ,UT,1979,558095,"(37.5930377, -112.1870895)","Bryce Canyon National Park, Utah, USA"
Canyonlands NP,CANY,National Park,Intermountain ,UT,1979,74545,"(38.2135733, -109.9025345)","Canyonlands National Park, Utah, USA"
Capitol Reef NP,CARE,National Park,Intermountain ,UT,1979,288860,"(38.0877312, -111.1354983)","Capitol Reef National Park, Utah, USA"
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,1979,721647,"(32.137045, -104.5437529)","Carlsbad Caverns National Park, Carlsbad, NM 88220, USA"
Channel Islands NP,CHIS,National Park,Pacific West ,CA,1979,82937,"(34.0149999, -119.7516345)","Channel Islands National Park, California, USA"
Congaree NP,CONG,National Park,Southeast ,SC,1985,12332,"(33.7918719, -80.7490486)","Congaree National Park, South Carolina, USA"
Crater Lake NP,CRLA,National Park,Pacific West ,OR,1979,410749,"(42.9294762, -122.1279394)","Crater Lake National Park, Oregon, USA"
Cuyahoga Valley NP,CUVA,National Park,Midwest ,OH,1979,543025,"(41.2808248, -81.56781199999999)","Cuyahoga Valley National Park, Ohio, USA"
Death Valley NP,DEVA,National Park,Pacific West ,CA,1979,631152,"(36.5322649, -116.9325408)","Death Valley, CA, USA"
Denali NP & PRES,DENA,National Park,Alaska,AK,1979,251105,"(63.1148002, -151.1926058)","Denali National Park and Preserve, Parks Hwy, Denali National Park and Preserve, AK, USA"
Dry Tortugas NP,DRTO,National Park,Southeast ,FL,1979,9076,"(24.628477, -82.87318739999999)","Dry Tortugas National Park, Florida, USA"
Everglades NP,EVER,National Park,Southeast ,FL,1979,718102,"(25.745929, -80.5549561)","Everglades, Florida, USA"
