Year,State,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1970,Alabama,Spirits,3863000,1738350,2499000,6956,9,2020000,8606,9,N/A,N/A,N/A
1970,Alabama,Wine,1412000,225920,2499000,904,9,2020000,1118,9,N/A,N/A,N/A
1970,Alabama,Beer,33098000,1489410,2499000,5960,0,2020000,7373,0,N/A,N/A,N/A
1970,Alabama,All beverages,N/A,3453680,2499000,13820,0,2020000,7097,0,N/A,N/A,N/A
1970,Alaska,Spirits,945000,425250,205000,20744,1,165000,5773,1,N/A,N/A,N/A
1970,Alaska,Wine,470000,75200,205000,3668,2,165000,4558,2,N/A,N/A,N/A
1970,Alaska,Beer,5372000,241740,205000,11792,5,165000,4651,5,N/A,N/A,N/A
1970,Alaska,All beverages,N/A,742190,205000,36204,1,165000,4981,1,N/A,N/A,N/A
1970,Arizona,Spirits,2967000,1335150,1272000,10496,5,1031000,2950,5,N/A,N/A,N/A
1970,Arizona,Wine,2508000,401280,1272000,3155,3,1031000,3892,3,N/A,N/A,N/A
1970,Arizona,Beer,38604000,1737180,1272000,13657,2,1031000,6849,2,N/A,N/A,N/A
1970,Arizona,All beverages,N/A,3473610,1272000,27308,4,1031000,3692,4,N/A,N/A,N/A
1970,Arkansas,Spirits,1865000,839250,1422000,5902,0,1169000,7179,0,N/A,N/A,N/A
1970,Arkansas,Wine,1193000,190880,1422000,1342,7,1169000,1633,8,N/A,N/A,N/A
1970,Arkansas,Beer,22378000,1007010,1422000,7082,0,1169000,8614,0,N/A,N/A,N/A
1970,Arkansas,All beverages,N/A,2037140,1422000,14326,0,1169000,7426,0,N/A,N/A,N/A
1970,California,Spirits,45071000,20281950,14811000,13694,3,12247000,6561,3,N/A,N/A,N/A
1970,California,Wine,58590000,9374400,14811000,6329,1,12247000,7654,1,N/A,N/A,N/A
1970,California,Beer,363645000,16364025,14811000,11049,7,12247000,3362,7,N/A,N/A,N/A
1970,California,All beverages,N/A,46020375,14811000,31072,2,12247000,7577,2,N/A,N/A,N/A
1970,Colorado,Spirits,4494000,2022300,1608000,12576,3,1301000,5544,3,N/A,N/A,N/A
1970,Colorado,Wine,3132000,501120,1608000,3116,3,1301000,3852,3,N/A,N/A,N/A
1970,Colorado,Beer,42145000,1896525,1608000,11794,5,1301000,4577,5,N/A,N/A,N/A
1970,Colorado,All beverages,N/A,4419945,1608000,27487,4,1301000,3973,3,N/A,N/A,N/A
1970,Connecticut,Spirits,7277000,3274650,2238000,14632,2,1868000,7530,2,N/A,N/A,N/A
1970,Connecticut,Wine,4726000,756160,2238000,3379,3,1868000,4048,3,N/A,N/A,N/A
1970,Connecticut,Beer,49680000,2235600,2238000,9989,8,1868000,1968,8,N/A,N/A,N/A
1970,Connecticut,All beverages,N/A,6266410,2238000,28000,4,1868000,3546,4,N/A,N/A,N/A
1970,Delaware,Spirits,1521000,684450,394000,17372,1,322000,1256,2,N/A,N/A,N/A
1970,Delaware,Wine,528000,84480,394000,2144,5,322000,2624,5,N/A,N/A,N/A
1970,Delaware,Beer,10263000,461835,394000,11722,6,322000,4343,5,N/A,N/A,N/A
1970,Delaware,All beverages,N/A,1230765,394000,31238,2,322000,8223,2,N/A,N/A,N/A
1970,District of Columbia,Spirits,5730000,2578500,581000,44380,1,486000,3056,1,N/A,N/A,N/A
1970,District of Columbia,Wine,2976000,476160,581000,8196,1,486000,9798,1,N/A,N/A,N/A
1970,District of Columbia,Beer,17887000,804915,581000,13854,1,486000,6562,2,N/A,N/A,N/A
1970,District of Columbia,All beverages,N/A,3859575,581000,66430,1,486000,9415,1,N/A,N/A,N/A
1970,Florida,Spirits,17402000,7830900,5166000,15159,2,4355000,7981,2,N/A,N/A,N/A
1970,Florida,Wine,9539000,1526240,5166000,2954,4,4355000,3505,4,N/A,N/A,N/A
1970,Florida,Beer,125228000,5635260,5166000,10908,7,4355000,2940,7,N/A,N/A,N/A
1970,Florida,All beverages,N/A,14992400,5166000,29021,3,4355000,4426,3,N/A,N/A,N/A
1970,Georgia,Spirits,7511000,3379950,3312000,10205,6,2684000,2593,6,N/A,N/A,N/A
1970,Georgia,Wine,2874000,459840,3312000,1388,7,2684000,1713,7,N/A,N/A,N/A
1970,Georgia,Beer,58089000,2614005,3312000,7893,9,2684000,9739,9,N/A,N/A,N/A
1970,Georgia,All beverages,N/A,6453795,3312000,19486,8,2684000,4045,8,N/A,N/A,N/A
1970,Hawaii,Spirits,1386000,623700,555000,11238,4,450000,3860,4,N/A,N/A,N/A
1970,Hawaii,Wine,867000,138720,555000,2499,5,450000,3083,4,N/A,N/A,N/A
1970,Hawaii,Beer,13640000,613800,555000,11059,7,450000,3640,6,N/A,N/A,N/A
1970,Hawaii,All beverages,N/A,1376220,555000,24797,5,450000,0583,5,N/A,N/A,N/A
1970,Idaho,Spirits,853000,383850,513000,7482,8,410000,9362,8,N/A,N/A,N/A
1970,Idaho,Wine,312000,49920,513000,973,9,410000,1218,9,N/A,N/A,N/A
1970,Idaho,Beer,13635000,613575,513000,11961,5,410000,4965,4,N/A,N/A,N/A
1970,Idaho,All beverages,N/A,1047345,513000,20416,7,410000,5545,8,N/A,N/A,N/A
1970,Illinois,Spirits,24214000,10896300,8162000,13350,3,6755000,6131,3,N/A,N/A,N/A
1970,Illinois,Wine,13845000,2215200,8162000,2714,4,6755000,3279,4,N/A,N/A,N/A
1970,Illinois,Beer,220190000,9908550,8162000,12140,4,6755000,4668,5,N/A,N/A,N/A
1970,Illinois,All beverages,N/A,23020050,8162000,28204,3,6755000,4079,3,N/A,N/A,N/A
1970,Indiana,Spirits,5773000,2597850,3769000,6893,9,3071000,8459,9,N/A,N/A,N/A
1970,Indiana,Wine,2807000,449120,3769000,1192,8,3071000,1462,8,N/A,N/A,N/A
1970,Indiana,Beer,84042000,3781890,3769000,10034,8,3071000,2315,8,N/A,N/A,N/A
1970,Indiana,All beverages,N/A,6828860,3769000,18118,9,3071000,2237,9,N/A,N/A,N/A
1970,Iowa,Spirits,3153000,1418850,2076000,6835,0,1699000,8351,0,N/A,N/A,N/A
1970,Iowa,Wine,780000,124800,2076000,601,0,1699000,735,0,N/A,N/A,N/A
