Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1970,Alabama,3453680,2499000,13820,0.0,2020000,7097,0.0,
1970,Alaska,742190,205000,36204,1.0,165000,4981,1.0,
1970,Arizona,3473610,1272000,27308,4.0,1031000,3692,4.0,
1970,Arkansas,2037140,1422000,14326,0.0,1169000,7426,0.0,
1970,California,46020375,14811000,31072,2.0,12247000,7577,2.0,
1970,Colorado,4419945,1608000,27487,4.0,1301000,3973,3.0,
1970,Connecticut,6266410,2238000,28000,4.0,1868000,3546,4.0,
1970,Delaware,1230765,394000,31238,2.0,322000,8223,2.0,
1970,District of Columbia,3859575,581000,66430,1.0,486000,9415,1.0,
1970,Florida,14992400,5166000,29021,3.0,4355000,4426,3.0,
1970,Georgia,6453795,3312000,19486,8.0,2684000,4045,8.0,
1970,Hawaii,1376220,555000,24797,5.0,450000,583,5.0,
1970,Idaho,1047345,513000,20416,7.0,410000,5545,8.0,
1970,Illinois,23020050,8162000,28204,3.0,6755000,4079,3.0,
1970,Indiana,6828860,3769000,18118,9.0,3071000,2237,9.0,
1970,Iowa,3806880,2076000,18338,8.0,1699000,2407,8.0,
1970,Kansas,2671920,1678000,15923,0.0,1373000,9460,0.0,
1970,Kentucky,4393075,2363000,18591,8.0,1918000,2904,8.0,
1970,Louisiana,6158640,2567000,23992,6.0,2041000,175,6.0,
1970,Maine,1719985,727000,23659,6.0,597000,8810,6.0,
1970,Maryland,8374010,2842000,29465,2.0,2342000,5756,2.0,
1970,Massachusetts,11841875,4229000,28002,3.0,3507000,3766,4.0,
1970,Michigan,17025400,6359000,26774,4.0,5146000,3085,4.0,
1970,Minnesota,6916480,2735000,25289,5.0,2219000,1169,5.0,
1970,Mississippi,2522780,1568000,16089,9.0,1242000,312,9.0,
1970,Missouri,8064580,3479000,23181,7.0,2879000,8012,7.0,
1970,Montana,1355185,502000,26996,4.0,405000,3461,4.0,
1970,Nebraska,2655905,1093000,24299,6.0,894000,9708,6.0,
1970,Nevada,1974570,354000,55779,1.0,297000,6484,1.0,
1970,New Hampshire,2589785,537000,48227,1.0,443000,8460,1.0,
1970,New Jersey,15575180,5313000,29315,3.0,4459000,4930,3.0,
